Jahr,Land,Drogenhilfe in Euro -eigene Recherchen/ Anfragen,PKS alle BtMG-Delikte - PKS,PKS (Erwerb/ Besitzdelikte) - PKS,Eingestellte Verfahren StA - Statistisches Bundesamt,Anteil an allen Verfahren,Gesamtverfahren
2004,Thüringen,3785900,7666,5839,3854,,
2005,Thüringen,3303650,7067,5156,4529,,
2006,Thüringen,2864800,6897,4940,4074,,
2007,Thüringen,1621700,6289,4546,3490,,
2008,Thüringen,1525700,5525,4265,3241,,
2009,Thüringen,1648700,5523,4297,3635,,
2010,Thüringen,1892430,6789,5401,4580,,
2011,Thüringen,1856200,7878,6518,5198,,
2012,Thüringen,1893000,8722,7288,5823,,
2013,Thüringen,1824500,8699,7158,5932,0.653,9084
2014,Thüringen,1824500,,,,,
2004,Schleswig-Holstein,2935600,8540,6662,,,
2005,Schleswig-Holstein,2875600,8985,7219,8257,,
2006,Schleswig-Holstein,3029900,8130,6643,7665,,
2007,Schleswig-Holstein,2750500,7282,5915,6755,,
2008,Schleswig-Holstein,2737000,7778,6408,7219,,
2009,Schleswig-Holstein,2955600,8257,6759,7248,,
2010,Schleswig-Holstein,3040600,7904,6455,3288,,
2011,Schleswig-Holstein,2434600,6075,4720,7051,,
2012,Schleswig-Holstein,2419950,5807,4537,6375,,
2013,Schleswig-Holstein,2504950,6776,5211,7212,0.86,8386
2014,Schleswig-Holstein,2554950,,,,,
2004,Nordrhein-Westfalen,16200000,63802,38711,45742,,
2005,Nordrhein-Westfalen,15800000,62178,37302,44067,,
2006,Nordrhein-Westfalen,12100000,56725,33740,39950,,
2007,Nordrhein-Westfalen,11400000,59471,34767,40705,,
2008,Nordrhein-Westfalen,12300000,56761,35365,36719,,
2009,Nordrhein-Westfalen,12000000,52723,33843,34320,,
2010,Nordrhein-Westfalen,12000000,51993,32452,33268,,
2011,Nordrhein-Westfalen,13700000,54465,33649,36217,,
2012,Nordrhein-Westfalen,13700000,53204,34852,35084,,
2013,Nordrhein-Westfalen,13700000,56701,41138,38032,0.631,60273
2014,Nordrhein-Westfalen,13700000,,,,,
2004,Hessen,5100000,19899,14948,14287,0.7127,20046
2005,Hessen,6400000,18812,14467,14162,0.7057,20068
2006,Hessen,6600000,16608,12673,12846,0.7007,18333
2007,Hessen,6600000,17282,13301,14730,0.7225,20388
2008,Hessen,7600000,17019,13108,14643,0.7199,20340
2009,Hessen,7600000,20042,15781,17116,0.7558,22646
2010,Hessen,7600000,18808,15066,16494,0.7558,21823
2011,Hessen,7600000,19406,15586,17743,0.7739,22927
2012,Hessen,7600000,19542,15878,17844,0.7739,23057
2013,Hessen,7600000,20513,16909,17969,0.7886,22786
2014,Hessen,,,,,,
2004,Berlin,8639957,13788,10151,8785,0.766,11469
2005,Berlin,8300600,12504,9205,8460,0.702,12051
2006,Berlin,,10689,7918,8517,0.671,12693
2007,Berlin,,11236,7994,8534,0.691,12350
2008,Berlin,,11631,8482,8936,0.715,12498
2009,Berlin,6035986,11708,8626,8565,0.708,12097
2010,Berlin,6619456,11546,8577,8666,0.711,12188
2011,Berlin,5573598,11238,8638,8336,0.747,11159
2012,Berlin,5875687,12238,9540,8673,0.783,11077
2013,Berlin,6143697,13348,10495,10201,0.784,13011
2014,Berlin,,13465,10470,9830,0.795,12365
2004,Bayern,6500000,40677,29193,22062,,
2005,Bayern,5600000,39936,28384,21734,,
2006,Bayern,5700000,34447,23605,19599,,
2007,Bayern,5800000,33253,22534,18408,,
2008,Bayern,5800000,32164,22511,17185,,
2009,Bayern,7553900,31577,22276,17639,,
2010,Bayern,7553900,31669,22687,17685,,
2011,Bayern,7053300,30802,21401,17112,,
2012,Bayern,6652800,32803,22623,18645,,
2013,Bayern,6952800,35427,25017,21181,0.532,39814
2014,Bayern,7452800,,,23111,,
2004,Bremen,,4209,2979,2784,,
2005,Bremen,,4130,3026,3174,,
2006,Bremen,,3673,2704,2831,,
2007,Bremen,,3844,2807,2968,,
2008,Bremen,,3933,2934,2609,,
2009,Bremen,,4105,3126,2263,,
2010,Bremen,,3676,2742,1995,,
2011,Bremen,,4405,3436,2371,,
2012,Bremen,,4283,2871,2417,,
2013,Bremen,,3695,2809,2185,0.601,3636
2014,Bremen,,,,,,
2004,Brandenburg,1400000,6624,5194,5463,0.808,6761
2005,Brandenburg,1400000,6919,5378,5877,0.775,7583
2006,Brandenburg,1400000,6893,5383,5870,0.781,7516
2007,Brandenburg,1400000,6034,4784,4921,0.761,6466
2008,Brandenburg,1400000,4506,3428,3957,0.77,5139
2009,Brandenburg,1400000,4631,3716,3839,0.767,5005
2010,Brandenburg,1400000,5034,4058,4047,0.775,5222
2011,Brandenburg,1400000,6097,5193,4208,0.708,5944
2012,Brandenburg,1400000,4628,3816,3572,0.723,4941
2013,Brandenburg,1400000,5144,4128,3966,0.781,5078
2014,Brandenburg,,,,,,
2004,Baden-Württemberg,9125400,39190,29518,19455,,
2005,Baden-Württemberg,9125100,37150,27271,20669,,
2006,Baden-Württemberg,8589900,33782,25490,19450,,
2007,Baden-Württemberg,8613900,29783,21202,18083,,
2008,Baden-Württemberg,8613900,27214,18610,17788,,
2009,Baden-Württemberg,9313000,24736,17294,15962,,
2010,Baden-Württemberg,9913900,23942,16986,15394,,
2011,Baden-Württemberg,9913900,26203,19261,16139,,
2012,Baden-Württemberg,10463400,27053,20032,17130,,
2013,Baden-Württemberg,9963400,31647,23853,21500,0.595,36134
2014,Baden-Württemberg,9963400,,,,,
2004,Niedersachsen,7420000,24117,16385,18203,,
2005,Niedersachsen,7013000,25938,17454,18285,,
2006,Niedersachsen,7013000,25481,17113,18162,,
2007,Niedersachsen,7213000,27153,18351,17112,,
2008,Niedersachsen,7013000,28283,19994,19650,,
2009,Niedersachsen,7199000,27034,19178,18771,,
2010,Niedersachsen,7215000,25884,18039,17945,,
2011,Niedersachsen,7013000,25949,18638,18288,,
2012,Niedersachsen,7013000,26063,19174,17996,,
2013,Niedersachsen,7013000,27499,20180,20507,0.694,29549
2014,Niedersachsen,7838000,,,,,
2004,Mecklenburg-Vorpommern,2370500,4565,3778,3388,,
2005,Mecklenburg-Vorpommern,2030000,4215,3478,2926,,
2006,Mecklenburg-Vorpommern,2030000,4146,3288,2787,,
2007,Mecklenburg-Vorpommern,2020000,3414,2694,2463,,
2008,Mecklenburg-Vorpommern,2020000,3320,2667,2372,,
2009,Mecklenburg-Vorpommern,2220000,4074,3328,2666,,
2010,Mecklenburg-Vorpommern,2220000,3663,2918,2636,,
2011,Mecklenburg-Vorpommern,2220000,3550,2867,2434,,
2012,Mecklenburg-Vorpommern,2220000,4385,3522,3219,,
2013,Mecklenburg-Vorpommern,2220000,3913,3122,3245,0.76,4270
2014,Mecklenburg-Vorpommern,2220000,,,,,
2004,Rheinland-Pfalz,4369290,17542,12785,12563,,
2005,Rheinland-Pfalz,4397090,18301,13524,13010,,
2006,Rheinland-Pfalz,4472090,18266,13509,13059,,
2007,Rheinland-Pfalz,4536790,17260,12840,12699,,
2008,Rheinland-Pfalz,4651236,17299,13079,12596,,
2009,Rheinland-Pfalz,5638790,18961,14361,9637,,
2010,Rheinland-Pfalz,5638790,18051,13722,13407,,
2011,Rheinland-Pfalz,5624290,16595,12185,12912,,
2012,Rheinland-Pfalz,5655790,13777,9824,12170,,
2013,Rheinland-Pfalz,5740990,14178,9898,15009,0.698,21503
2014,Rheinland-Pfalz,5809854,,,,,
2004,Sachsen-Anhalt,,7044,4851,5411,,
2005,Sachsen-Anhalt,,6897,4732,5310,,
2006,Sachsen-Anhalt,,6520,4506,4899,,
2007,Sachsen-Anhalt,,5696,3974,4488,,
2008,Sachsen-Anhalt,2992400,4776,3327,3577,,
2009,Sachsen-Anhalt,2992400,4838,3450,3562,,
2010,Sachsen-Anhalt,2992400,4470,3206,3211,,
2011,Sachsen-Anhalt,2992400,5662,4049,3993,,
2012,Sachsen-Anhalt,2992400,5893,4273,4164,,
2013,Sachsen-Anhalt,2992400,6060,4354,4449,0.748,5948
2014,Sachsen-Anhalt,2992400,,,,,
2004,Sachsen,4100000,9821,6998,6232,,
2005,Sachsen,,7835,6086,6099,,
2006,Sachsen,,8014,6103,5283,,
2007,Sachsen,,7187,5574,4773,,
2008,Sachsen,,6781,5246,4958,,
2009,Sachsen,4138570,6123,4781,4573,,
2010,Sachsen,,7043,5519,5241,,
2011,Sachsen,,8096,6307,6182,,
2012,Sachsen,,8875,6935,6683,,
2013,Sachsen,4441469,9408,7460,7986,0.656,12174
2014,Sachsen,4460555,,,,,
2004,Saarland,,3336,2284,2341,,
2005,Saarland,,2722,1825,1890,,
2006,Saarland,,2767,1917,2032,,
2007,Saarland,,2381,1624,1856,,
2008,Saarland,,2489,1731,2169,,
2009,Saarland,967400,2177,1585,1742,,
2010,Saarland,985600,2338,1691,1574,,
2011,Saarland,1066900,2312,1725,1416,,
2012,Saarland,1066900,1971,1449,1346,,
2013,Saarland,1529700,1897,1383,1335,0.649,2057
2014,Saarland,1480700,,,,,
2004,Hamburg,17811000,13428,10102,9088,,
2005,Hamburg,17029000,13151,9937,11088,,
2006,Hamburg,15701000,11981,9309,8233,,
2007,Hamburg,17206000,10790,8589,7174,,
2008,Hamburg,17206000,10467,8231,6241,,
2009,Hamburg,17009000,9332,7287,5922,,
2010,Hamburg,17209000,8197,6361,5612,,
2011,Hamburg,17740000,7745,6124,5766,,
2012,Hamburg,17580000,7905,6178,5665,,
2013,Hamburg,18621000,8546,6668,6376,0.658,9690
2014,Hamburg,18621000,,,,,
